sort_no,term,definition,category,example,source_page,difficulty,tags
23,激浊扬清,侧重点在于“激”与“扬”的联动作用。既包含对浑浊、消极现象的批判与清除，又包含对清澈、积极价值的彰显与推广。,第三组 改革创新,,1,,
24,另辟蹊径,意思是另外开辟一条路。比喻另创一种风格或方法。,第四组 做法、构思创新,,1,,
25,标新立异,标：表明。异：独特，与众不同。原意为表明新颖的义理，提出与众不同的见解。后指故意提出新奇的见解，表示自己与众不同。（主观上故意性；辨析感情色彩）,第四组 做法、构思创新,,1,,
26,与时俱进,时：时间。俱：一起，一同。进：前进。与时间一起前进。指不断进取，永不停滞。,第四组 做法、构思创新,,1,,
27,剑走偏锋,指不走常规，找一些新的、不同以往的办法来解决问题，以求出奇制胜。,第四组 做法、构思创新,,1,,
28,不拘一格,不拘一格指不拘泥于一种规格、方式，比喻打破常规。,第四组 做法、构思创新,,1,,
29,匠心独运,匠心：精巧的心思。具有独到的创造性。多指文学艺术的创作构思。同“独具匠心”“匠心独运”。（侧重文艺创作的心思巧妙,第四组 做法、构思创新,,1,,
30,别出心裁,【侧重想法构思巧妙）心裁：内心的决断。另外想出与众不同的办法、主意。也作“独出心裁”。,第四组 做法、构思创新,,1,,
31,独树一帜,单独树起一面旗帜。比喻创造独特风格，自成一家。同“别树一帜”。（侧重风格）,第四组 做法、构思创新,,2,,
32,自成一家,意思是指在某一方面的学间或技术有独到的见解或独特的做法，能自成体系。,第四组 做法、构思创新,,2,,
33,别开生面,比喻另外开创新的局面或新的形式。,第四组 做法、构思创新,,2,,
34,不落窠白,意为不落俗套，有独创风格。（多用于形容文章或艺术作品）,第四组 做法、构思创新,,2,,
35,墨守成规,形容因循守旧，不肯改变。,第五组 守旧不创新,,2,,
36,抱残守缺,残、缺：不完整。1.固守陈旧残缺的东西不放，形容保守，不知改进。2.保存虽有残缺但仍有价值的古物。,第五组 守旧不创新,,2,,
37,因循守旧,因循：沿用旧办法。指一直沿用旧办法而不加改变。（侧重新与旧）,第五组 守旧不创新,,2,,
38,固步自封,封：限制在一定的范围内。比喻因循守旧，安于现状，不求创新进取。侧重形容开放与封闭）,第五组 守旧不创新,,2,,
39,食古不化,意思是读书、作画一味学习古人，拘泥陈法，不善于灵活运用。指对所学的古代知识理解得不透，不善于按现在的情况来运用。,第五组 守旧不创新,,2,,
40,按图索骥,索：寻找。骥：良马。照着图像去寻找良马。比喻做事死守教条，而不懂得变通。也比喻依据一定的线索去寻找事物。（中性词）,第六组 按规矩办事,,2,,
41,按部就班,部：类别。班：次序。原指写文章按类别安排文义，按顺序组织文辞。后指按照一定的次序或部置进行。（中性词）,第六组 按规矩办事,,2,,
42,循规蹈矩,循：依照。规：圆规。蹈：踩。矩：曲尺。规、矩是定方圆的标准规则，借指行为的准则。原指遵守规矩，不敢违反。后指拘守旧准则，不敢稍作变动。（中性词）,第六组 按规矩办事,,2,,
43,循规拘礼,遵循规则，拘泥礼节。,第六组 按规矩办事,,2,,
44,照本宣科,原指照着书本或讲稿逐字宣读。引申为机械执行既定规则或文本内容，完全依赖书面指示而缺乏实际调整，批评其缺乏创造性。,第六组 按规矩办事,,2,,
45,循序渐进,循：顺，按照。序：次序。指事物的发展或学习工作等按照一定的步骤逐渐深入或提高,第六组 按规矩办事,,2,,
46,有条不素,条：条理。亲：乱。形容办事很有条理。,第六组 按规矩办事,,2,,
47,望而生畏,指看见了就害怕。（侧重情绪上的害怕）,第七组 处境困难,,2,,
48,望而却步,却步：不敢前进，往后退。形容遇到危险、困难或力所不及的事就往后退缩。（侧重行为上退却，多因为害怕、惊讶、震撼、犹豫、顾虑）,第七组 处境困难,,2,,
49,畏葱不前,畏惧退缩，不敢前进。,第七组 处境困难,,2,,
50,进退两难,前进和后退都难。比喻事情无法决定，因而难以行动。,第七组 处境困难,,2,,
51,骑虎难下,骑在虎背上难以下来。比喻事情遇到困难，迫于形势不能中止，陷入进退两难的境地。侧重同一件事已经开始了就难以停止）,第七组 处境困难,,2,,
52,进退维谷,谷：困窘。指前进或后退都处于困难境地。形容进退两难。同“进退两难”“进退失据”。（侧重很难抉择）,第七组 处境困难,,2,,
53,进退失据,同进退维谷。（侧重很难抉择）,第七组 处境困难,,2,,
54,瞻前顾后,多用于形容顾虑太多，犹豫不决。,第七组 处境困难,,2,,
55,踟蹰不前,意思为迟疑不决，不敢前进。,第七组 处境困难,,2,,
56,裹足不前,比喻因心存顾虑而停止行动或不敢向前，与踟蹰不前相比停滞程度更彻底，暗示难以突破。,第七组 处境困难,,2,,
57,举步维艰,抬脚行走十分困难。形容已陷入十分艰难的处境。,第七组 处境困难,,2,,
58,寸步难行,进行活动。（程度较重）寸步：很短的距离。一步也难以行走。形容行走十分困难。也形容陷入困难境地，无法,第七组 处境困难,,2,,
59,难以为继,指难以持续下去。同“难乎为继”。（关于事）,第七组 处境困难,,2,,
60,岌岌可危,岌岌：山高陡峭，就要倒下的样子。形容非常危险，快要倾覆或灭亡。,第八组 形势危险,,3,,
61,危如累卵,比喻形势非常危险，如同堆起来的蛋，随时都有塌下打碎的可能。,第八组 形势危险,,3,,
62,命悬一线,处境危险，随时可能丧失生命。,第八组 形势危险,,3,,
63,奄奄一息,奄奄：呼吸微弱的样子。只剩下一口气。形容临近死亡。,第八组 形势危险,,3,,
64,风雨飘搖,飘摇：飘荡。在风雨中飘荡不定。比喻局势动荡不安，很不稳定。,第八组 形势危险,,3,,
65,危在且夕,旦夕：早晨和晚上，形容时间短。形容危险就在眼前。,第八组 形势危险,,3,,
66,危若朝露,意思是危险得像清早的露水一样，太阳一出就要消失，形容面临灭亡，情况危急。,第八组 形势危险,,3,,
67,层出不穷,层出：接连出现。穷：尽。接连出现，没有穷尽。（主语是事物）,第九组 事物出现、发展、衰落,,3,,
68,风起云涌,形容雄浑磅礴之势；也比喻事物迅速发展，声势浩大。,第九组 事物出现、发展、衰落,,3,,
69,方兴未艾,意思是事物正在发展，尚未达到止境。,第九组 事物出现、发展、衰落,,3,,
70,雨后春笋,春天下雨后竹笋长得又多又快，比喻新生事物大量涌现和蓬勃发展。（侧重数量多）,第九组 事物出现、发展、衰落,,3,,
71,横空出世,形容人或物高大，横在空中，浮出人世，或比喻卓尔不群。（侧重突出、明显）,第九组 事物出现、发展、衰落,,3,,
72,异军突起,异军：另一支军队。比喻一支新生力量突然崛起。（侧重新生事物）,第九组 事物出现、发展、衰落,,3,,
73,应运而生,应运：应天命。指顺应天命而降生。后泛指顺应时机而产生。,第九组 事物出现、发展、衰落,,3,,
74,高歌猛进,意思是高声歌唱，勇猛前进；形容在前进的道路上，充满乐观精神。,第九组 事物出现、发展、衰落,,3,,
75,如火如茶,原比喻军容之盛，现在形容旺盛、热烈或激烈。,第九组 事物出现、发展、衰落,,3,,
76,蒸蒸日上,蒸蒸：热气上升的样子。形容事业一天天地向上发展。常搭配事业、国家、人民生活等，侧重向上）,第九组 事物出现、发展、衰落,,3,,
77,如日中天,像太阳正运行到正午。比喻正发展到最兴盛的阶段。,第九组 事物出现、发展、衰落,,3,,
78,势如破竹,势：形势。破竹：劈开竹子。形势如同劈竹子一样，劈开头上几节，下面各节就顺着刀口裂开了。后用来形容节节胜利，毫无阻碍。,第九组 事物出现、发展、衰落,,3,,
79,突飞猛进,形容发展十分迅速。,第九组 事物出现、发展、衰落,,3,,
80,一日千里,一日千里一天跑一千里。也比喻进步、发展很快。,第九组 事物出现、发展、衰落,,3,,
81,日新月异,•形容发展变化很快，新事物、新气象不断出现。,第九组 事物出现、发展、衰落,,3,,
82,阪上走丸,阪：斜坡；丸：弹丸。指在斜坡上滚弹丸，比喻形势发展迅速或工作进行顺利。,第九组 事物出现、发展、衰落,,3,,
83,日渐式微,事物逐渐地由兴盛而衰落。,第九组 事物出现、发展、衰落,,3,,
84,每況愈下,指情况越来越坏，越来越糟糕。（也可形容身体或精神越来越糟糕）长江大河的水，日夜流向下流而不止。比喻事物日趋衰落，情况一天不如一天。,第九组 事物出现、发展、衰落,,3,,
85,江河日下,（多指国势等事物发展趋势,第九组 事物出现、发展、衰落,,3,,
86,水涨船高,水位上涨，船体也随着上升。比喻事物随着它所凭借的基础而增长。,第九组 事物出现、发展、衰落,,3,,
87,此消彼长,指这个下降，那个上升。,第九组 事物出现、发展、衰落,,3,,
88,波澜壮阔,原形容水面辽阔，现比喻声势雄壮或规模宏大。,第九组 事物出现、发展、衰落,,3,,
89,柳暗花明,垂柳浓密，鲜花夺目。形容柳树成荫，繁花似锦的春天景象。也比喻在困难中遇到转机。,第九组 事物出现、发展、衰落,,3,,
90,拨云见日,拨开乌云见到太阳。比喻冲破黑暗见到光明。也比喻疑团消除，心里顿时明白。,第九组 事物出现、发展、衰落,,3,,
91,相形见绌,形：对照，比较。绌：不够，不足。跟同类的人或同类事物相比较，显出很不足。出：超出。类：同类。拔：高出。萃：指聚在一起的人或物。,第一十组 竟争比较,,3,,
92,出类拔萃,指人的品德才能出众，高出同类之上。【（侧重能力或品德，高于同类）,第一十组 竟争比较,,3,,
93,无与伦比,意思是指事物非常完美，没有能够与它相比的同类的东西。,第一十组 竟争比较,,3,,
94,脱颖而出,颖：细长物体的尖端。比喻才能完全显露出来。（侧重能力）,第一十组 竟争比较,,4,,
95,崭露头角,崭：高出。比喻突出地显露出才能。（侧重能力）,第一十组 竟争比较,,4,,
96,大显身手,显：表露，表现；身手：指本领。充分显示出本领和才能。,第一十组 竟争比较,,4,,
97,望其项背,项：脖子的后部。能够看到别人的颈项和脊背。比喻有能力赶得上。常用于否定句，如：难以～、无法～、不能～）莫：不能。及：到，赶上。指望见前面人马扬起的尘土而追赶不上。比喻远远落在后,第一十组 竟争比较,,4,,
98,望尘莫及,面，相差甚远。也用以表示自谦。,第一十组 竟争比较,,4,,
99,相提并论,把不同的人或不同的事情放在一起谈论或看待。（侧重于评价几个人或事物之间有没有差距/能否比得上。多用于否定句中）,第一十组 竟争比较,,4,,
100,同日而语,指相提并论。（侧重于强调时间上的对比，多形容与自身的比较。现有时也有例外。多用于否定句中）,第一十组 竟争比较,,4,,
101,等量齐观,等：同等。齐：一样。把不同的事物一律同等看待。,第一十组 竟争比较,,4,,
102,一概而论,用同一标准来对待或处理。（多用于否定，如：不能～）,第一十组 竟争比较,,4,,
103,力有未逮,指有意愿却做不到。,第十一组 能力不足,,4,,
104,爱莫能助,爱：爱惜；莫：不。虽然心中关切同情，却没有力量帮助。及：到。原意是鞭子虽长，也不能打马肚子。比喻相隔太远，力量达不到。,第十一组 能力不足,,4,,
105,鞭长莫及,（有时会用于形容“虽有能力，但能力有限”）,第十一组 能力不足,,4,,
106,望洋兴叹,望洋：仰视的样子。仰望海神而兴叹。原指在伟大事物面前感叹自己的渺小。现多比喻做事时因为不胜任或没有条件而感到无可奈何。,第十一组 能力不足,,4,,
107,力不从心,心里想做，可是力量够不上。,第十一组 能力不足,,4,,
108,回天乏术,已无法挽救。回天：比喻力量大，能移转极难挽回的时势；乏术：缺少方法。比喻局势或病情严重，,第十一组 能力不足,,4,,
109,捉襟见肘,【侧重人力、物力等资源有限）捉襟：整理衣襟。肘：胳膊肘儿。形容衣裳破旧。也比喻困难很多，应付不过来。,第十一组 能力不足,,4,,
110,顾此失彼,顾了这个，丢了那个。形容忙乱或慌张的情景。（侧重考虑不周全）,第十一组 能力不足,,4,,
111,左支右绌,支：支持；绌：屈曲，引申为不足。原指弯弓射箭的姿势，左手支持，右手屈曲。指力量不足，应付了这方面，那方面又出了问题。（侧重能力有限，应付不过来）,第十一组 能力不足,,4,,
112,独木难支,一根木头支不住高大的房子。比喻一个人的力量单薄，维持不住全局。,第十一组 能力不足,,4,,
113,应接不暇,【（主语是人，侧重人或事物太多忙不过来）暇：空闲。原指景物很多，顾不上观赏。后形容太繁忙，应付不过来。,第十一组 能力不足,,4,,
114,浮光掠影,浮光：水面上的反光。掠影：一闪而过的影子。比喻因事物很快消逝而使人对它的印象不深。（侧重抽象语境）,第十二组 印象和效果,,4,,
115,走马观花,【侧重于用眼看具体事物的过程，一般不形容读书走马：骑马快跑。比喻观察事物或者了解情况不深入细致。,第十二组 印象和效果,,4,,
116,蜻蜓点水,比喻进行某些动作时只轻轻接触表面。也比喻肤浅不深入。,第十二组 印象和效果,,4,,
117,浅尝辄止,辄：立即，就。只略微尝试一下就停止。比喻做事不求深入。（侧重停止）,第十二组 印象和效果,,4,,
118,囫囵吞枣,囫囵：整个的。把枣子整个吞下。比喻笼统地接受，不加分析、甄别，不求甚解。,第十二组 印象和效果,,4,,
119,不求甚解,去深入理会。甚：很，极。原指读书只领会要旨，不必在一字一句上下功夫。后指只求懂个大概，不,第十二组 印象和效果,,4,,
120,举一反三,反：类推，推论。指举出一件事，就可以触类旁通，类推出许多同类事物来。侧重于具象的事物层面和类推）,第十二组 印象和效果,,4,,
121,融会贯通,融会：融合。贯通：全面透彻地了解。指把各方面的知识、道理融合贯穿，从而获得对事物全面、透彻地理解和领悟。（侧重融合）,第十二组 印象和效果,,4,,
122,触类旁通,触：接触。通：通晓。指掌握了某一事物的规律或知识，就能够以此类推，了解同类的其他事物。（侧重于抽象的思维层面和类推）,第十二组 印象和效果,,4,,
123,相辅相成,辅：辅助，帮助。指两种事物互相辅助，互相促成，缺一不可。,第十三组 搭档配合,,5,,
124,相得益彰,相得：互相投合。益：更加。彰：明显。两个人或两件事相互配合，双方的能力和作用更能显示出来。,第十三组 搭档配合,,5,,
125,锦上添花,指在有彩色花纹的丝织品上再绣上花朵。比喻美上加美，喜上加喜。,第十三组 搭档配合,,5,,
126,珠联壁合,珠联：像珍珠一样串在一起。壁合：像碧玉一样合在一起。原指一种日月重合、五星相联的天相。后多比喻美好的人及事物凑在一起。同“珠连璧合”。（侧重结合）,第十三组 搭档配合,,5,,
127,互为表里,甲为乙的外表，乙为甲的内里；比喻互相依存，互相接受。,第十三组 搭档配合,,5,,
128,交相辉映,各种光亮、色彩相互照耀、映射。常用语形容美好的景象。,第十三组 搭档配合,,5,,
129,相映成趣,映：映衬。趣：意趣。相互衬托着，显得很有情趣，很有意思。意思通常指的是两座高大的山峰彼此对立地耸立着。这个成语不仅用来形容自然界的景,第十三组 搭档配合,,5,,
130,双峰并峙,观，也常用于比喻在某一领域或文化上同时达到极高成就的两个人物或事物。,第十三组 搭档配合,,5,,
131,并行不悖,悖：违反，违背。指同时进行而互相不违背。,第十四组 工作开展顺序,,5,,
132,齐头并进,指几方面同时前进。,第十四组 工作开展顺序,,5,,
133,双管齐下,管：笔管。比喻一件事同时采用两种办法或两件事同时进行。,第十四组 工作开展顺序,,5,,
134,并驾齐驱,并驾：几匹马并排在一起拉车。齐驱：共同快跑。比喻相互之间不相上下。,第十四组 工作开展顺序,,5,,
135,一马当先,策马走在最前面。形容率先、领先。,第十四组 工作开展顺序,,5,,
136,本末倒置,本：树根。末：树梢。比喻把事情的轻重主次颠倒了过来。,第十五组 错误抉择和方向,,5,,
137,舍本逐末,舍：放弃。本：根本。逐：追求。末：枝节。比喻放弃根本，追求末节，轻重主次倒置。,第十五组 错误抉择和方向,,5,,
138,喧宾夺主,喧：吵吵嚷嚷。客人的声音压倒了主人的声音。比喻外来的或次要的事物占据了原有的或主要的事物的位置。,第十五组 错误抉择和方向,,5,,
139,得不偿失,所得到的抵不上所失去的。,第十五组 错误抉择和方向,,5,,
140,因小失大,因：为了。指为了小的利益造成大的损失。,第十五组 错误抉择和方向,,5,,
141,因噎废食,废：停止。比喻因为碰到挫折，连该做的事情也不做了。,第十五组 错误抉择和方向,,5,,
142,背道而驰,背：逆着。道：道路。向着相反的道路奔驰。比喻彼此方向目标完全相反。也比喻背离正确的目标，朝相反的方向走。,第十五组 错误抉择和方向,,5,,
143,南辕北辙,辕：车辕，车前驾牲口的直木。辙：车轮经过留下的痕迹。本要往南边去却驾车向北。比喻行动和目的截然相反。（多形容同一个主语、侧重目标与做法相反）,第十五组 错误抉择和方向,,5,,
144,分道扬镳,道：道路。镳：马嚼子。分开道路，驱马前进。指分道而行。也比喻思想、志趣不同而各人千各人的事。也作“扬镳分路”。,第十五组 错误抉择和方向,,5,,
145,缘木求鱼,缘木：爬树。比喻方向、方法不对，就不可能达到目的。（侧重方法错误）,第十五组 错误抉择和方向,,5,,
146,拔苗助长,比喻违反事物的发展规律，急于求成，反而坏事。也作“揠苗助长”。,第十六组 错误做法（寓言故事）,,5,,
147,越俎代庖,越：超过。俎：古代盛牛羊等祭品的器具。庖：厨师。比喻处理超过自己职权范围的事情。,第十六组 错误做法（寓言故事）,,5,,
148,削足适履,履：鞋。鞋小脚大，把脚削去一块来凑合鞋的大小。比喻不合理地迁就凑合或不顾具体条件，生搬硬套。,第十六组 错误做法（寓言故事）,,5,,
149,闭门造车,关起门来造车。比喻不管客观情况如何，只凭主观办事。（多形容不开放、自我封闭）求：寻找。比喻拘泥、不变通，不懂得根据实际情况处理问题。也比喻徒劳无功，达不,第十六组 错误做法（寓言故事）,,5,,
150,刻舟求剑,到目的。,第十六组 错误做法（寓言故事）,,5,,
151,守株待兔,株：树桩子。比喻心存侥幸，不劳而获。也比喻死守狭隘经验，不知变通。,第十六组 错误做法（寓言故事）,,5,,
152,掩耳盗铃,掩：掩盖，遮盖。比喻自欺欺人。同“掩耳偷铃”。,第十六组 错误做法（寓言故事）,,5,,
153,邯郸学步,比喻一味地模仿别人，不仅没学到本事，反而把原来的本事也丢了。,第十六组 错误做法（寓言故事）,,5,,
154,东施效颦,比喻盲目地胡乱模仿，效果适得其反。,第十六组 错误做法（寓言故事）,,6,,
155,盲人摸象,比喻看问题不全面，以偏概全。（现更多用字面义，形容做一件事毫无头绪地摸索）,第十六组 错误做法（寓言故事）,,6,,
156,与虎谋皮,跟老虎商量取下它的皮来，比喻跟坏人商量要其牺牲自己的利益，是绝对办不到的。,第十六组 错误做法（寓言故事）,,6,,
157,潜移默化,潜：暗中。默：毫无声息。指受到外来影响而在不知不觉中发生变化。（侧重长时间）,第十七组 教育影响批评,,6,,
158,耳濡目染,濡：沾染。因经常听到看到而不知不觉受到影响。同“耳染目濡”“目染耳濡”“目濡耳染”。（侧重身处某种外在环境中）,第十七组 教育影响批评,,6,,
159,如沐春风,感觉。通常用来形容人感到非常舒适和愉悦。它的意思是像沐浴在春风里一样，感受到舒适的,第十七组 教育影响批评,,6,,
160,润物无声,指有大胸怀者，做了贡献而不张扬，默默奉献。（也指文化教育等对人的潜移默化的影响,第十七组 教育影响批评,,6,,
161,成风化人,成风，倡树一种社会风气。化人，感染人、影响人、教育人。通过倡导树立一种社会风气来影响、教育感化社会大众。,第十七组 教育影响批评,,6,,
162,耳提面命,级对下级恳切地教导。“耳提”，提着耳朵叮嘱；“面命”，当面指教，形容教诲殷切。多指长辈对晚辈、上,第十七组 教育影响批评,,6,,
163,苦口婆心,用来形容一个人善意且耐心地反复劝导他人。,第十七组 教育影响批评,,6,,
164,循循善诱,循循：有次序的样子。诱：引导。指善于有步骤地引导别人。多形容教育得法。,第十七组 教育影响批评,,6,,
165,诲人不倦,诲：教诲，教导。教导人时很有耐心而不知疲倦。宜于万物生长的和风，适时的雨。后用来比喻良好的教育。,第十七组 教育影响批评,,6,,
166,春风化雨,多用来称颂师长对学生及晚辈潜移默化的教诲。【（也可用来形容文化或教育等对人的影响）,第十七组 教育影响批评,,6,,
167,和风细雨,意思是比喻耐心地和颜悦色地批评或劝说。,第十七组 教育影响批评,,6,,
168,醍醐灌顶,醍醐：从牛乳中提炼出的纯酥油，佛教比喻最高的佛法。灌：浇。顶：头顶。比喻给人灌输智慧，使人从迷惑中醒悟或彻底觉悟。也比喻舒适畅快。,第十七组 教育影响批评,,6,,
169,振聋发聩,比喻唤醒糊涂麻木之人。,第十七组 教育影响批评,,6,,
170,如履薄冰,履：踩，走过。形容战战兢兢、小心谨慎的样子。,第十八组 工作学习状态,,6,,
171,兢兢业业,原形容畏惧的样子。后多用来形容小心谨慎、不敢懈怠的样子。,第十八组 工作学习状态,,6,,
172,专心致志,致：尽。志：志向，志趣。把心思全部放在上面。形容一心一意，精神集中。,第十八组 工作学习状态,,6,,
173,殚精竭虑,殚：竭尽。用尽精力和心思。,第十八组 工作学习状态,,6,,
174,呕心沥血,呕：吐。沥：滴。形容费尽心思。,第十八组 工作学习状态,,6,,
175,苦心孤诣,苦心：用尽心思。诣：（学业、技能等）所达到的程度。孤诣：别人达不到的程度。指尽心竭力钻研，达到了别人所达不到的地步。也指为了达到目的而费尽心思。,第十八组 工作学习状态,,6,,
176,废寝忘食,顾不上睡觉，忘记了吃饭。形容对某事专心致志。皓：白。穷经：彻底钻研经书。钻研经籍直到人老头白。也作“白首穷经”。,第十八组 工作学习状态,,6,,
177,皓首穷经,（也可形容长期钻研）,第十八组 工作学习状态,,6,,
178,心无旁骛,旁；另外的。骛：追求。心思没有另外的追求，形容心思集中，专心致志。,第十八组 工作学习状态,,6,,
179,乐此不疲,因酷爱干某事而不感觉厌烦。形容对某事特别爱好而沉浸其中。,第十八组 工作学习状态,,6,,
180,聚精会神,形容专心致志，注意力高度集中的样子。,第十八组 工作学习状态,,6,,
181,挖空心思,想方设法，费尽心机。（多含贬义）,第十八组 工作学习状态,,6,,
182,夜以继日,日夜不停地做某事。多形容十分勤奋、勤恳、忙碌。,第十八组 工作学习状态,,6,,
183,焚膏继晷,焚：点燃；膏：灯油或蜡烛；继：接续；晷：日影、日光。意思是点燃灯烛来接替日光照明，形容夜以继日地用功读书或努力工作。,第十八组 工作学习状态,,6,,
184,夙兴夜寐,夙：早。兴：起来。：睡觉。早起晚睡，形容勤奋辛劳。,第十八组 工作学习状态,,6,,
185,目不窥园,窥：看。形容学习专心致志，十分刻苦。,第十八组 工作学习状态,,6,,
186,风餐露宿,在风中吃饭，在露天住宿。形容旅途中的辛苦劳累。筚路：柴车。蓝缕：又旧又破的衣服。意思是驾着柴车穿着破旧衣服去开辟山林。现用,第十八组 工作学习状态,,7,,
187,筚路蓝缕,来形容创业的艰难与辛苦。也作“荜路蓝缕”。（词义有拓展，也可形容事情发展的初期阶段）,第十八组 工作学习状态,,7,,
188,披星戴月,身披星光，头顶月色。形容早出晚归或连夜赶路。也作“披星带月”“戴月披星”。,第十八组 工作学习状态,,7,,
189,栉风沐雨,栉：梳头。沐：洗头。形容人辛苦地四处奔波。,第十八组 工作学习状态,,7,,
190,摩顶放踵,意思是从头顶到脚跟都擦伤了；形容不辞劳苦，不顾身体。,第十八组 工作学习状态,,7,,
191,胼手胝足,意思是手脚生茧。形容劳动十分辛勤。,第十八组 工作学习状态,,7,,
192,孜孜吃吃,意思是勤勉不懈的样子。,第十八组 工作学习状态,,7,,
193,孜孜不倦,孜孜：勤奋的样子。形容勤奋、不知疲倦。,第十八组 工作学习状态,,7,,
194,孜孜以求,孜孜：勤勉的样子。意思是不知疲倦地探求。,第十八组 工作学习状态,,7,,
195,条分缕析,缕：线。一条条分析。形容分析得有条理，很细致。,第十九组 正确做法,,7,,
196,抽丝剥茧,很有层次。意思是丝得一根一根地抽，茧得一层一层地剥；形容分析事物极为细致，而且一步一步,第十九组 正确做法,,7,,
197,深入浅出,指讲话或文章的内容深刻，语言文字却浅显易懂。,第十九组 正确做法,,7,,
198,纲举目张,指提起大网的总绳一撒，所有的网眼就都张开。比喻抓住事物的主要环节，就可带动一切。,第十九组 正确做法,,7,,
199,提纲挈领,意思是抓住事物的关键部分或者核心要点，然后用简洁明了的方式进行概述或表达。,第十九组 正确做法,,7,,
200,以一持万,用来形容抓住了关键的环节或因素，从而能够控制和影响整个局面。它强调的是在处理问题时识别并把握住核心部分的重要性，以此来驾驭复杂的情况或者广泛的领域。,第十九组 正确做法,,7,,
201,博采众长,博采：广泛搜集采纳。从多方面吸取各家的长处。,第十九组 正确做法,,7,,
202,见贤思齐,指见到有才德的人就想着与他齐平,第十九组 正确做法,,7,,
203,量力而行,意思是指根据自身的实际能力和条件来决定行动的范围，做事不要超过自己的能力范围，以免出现意外问题。,第十九组 正确做法,,7,,
204,厚积薄发,厚积：充分积累。薄发：少量地慢慢地释放。形容积累丰富的学问而不轻易表现出来。,第十九组 正确做法,,7,,
205,脚踏实地,比喻做事踏实，认真。,第十九组 正确做法,,7,,
206,当仁不让,（側重情理上）当：面对。仁：符合道义的事。后指遇到应该做的事，勇于承当，不推诿。,第十九组 正确做法,,7,,
207,义不容辞,义：道义。辞：推辞。道义上不容许推辞。指理应接受。（侧重良心、道义上）,第十九组 正确做法,,7,,
208,责无旁贷,责：责任。贷：推卸。指自己应尽的责任，不能推给别人。（侧重责任、职责上）,第十九组 正确做法,,7,,
209,过犹不及,过：过分。不及：不够。事情做得过了头，就跟做得不够一样，都不合适。,第二十组 错误做法,,7,,
210,矫枉过正,矫枉：矫正弯曲。指纠正偏失错误，超过了应有的限度。,第二十组 错误做法,,7,,
211,于事无补,指某种言行对于解决问题没有帮助。,第二十组 错误做法,,7,,
212,欲速不达,指违背规律、一味求快，反而达不到目的。,第二十组 错误做法,,7,,
